_id,Water System No,Water System Name,Principal County Served,Federal Water System Type -CODE,Federal Water System Type,State Water System Type -CODE,State Water System Type,Water System Status -CODE,Water System Status,Owner Type -CODE,Owner Type,Primary Water Source Type -CODE,Primary Water Source Type,Residential Population,Non Transient Population,Transient Population,Total Population,Number of Service Connections Agricultural,Number of COMBINED Service Connections (CB),Number of Commercial (CM) Service Connections,Numer of Institutional Service Conections,Number of Residential Service Connections,Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class-CODE,Treatment Plant Class,Distribution System Class-CODE,Distribution System Class
7415,CA2000653,VICTOR PACKING,MADERA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,M,Mixed (Public/Private),GW ,Groundwater,,,35,35,,1,,,,1,,#N/A,3/6/2014,MADERA,,#N/A,NR   ,Not Required
7416,CA3303053,VICTOR REGALADO,RIVERSIDE,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,   ,#N/A,,20,,20,,7,,,,7,XS   ,State Small Water System,,THERMAL,,#N/A,,#N/A
7417,CA3901285,VICTOR SERVICE CENTER,SAN JOAQUIN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,50,,50,,1,,,,1,,#N/A,9/8/2016,VICTOR,,#N/A,,#N/A
7418,CA3601145,VICTOR VALLEY  WASTEWATER RECLAM,SAN BERNARDINO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,30,,30,,2,,,,2,SP   ,NonTransient-NonCommunity Water System,7/26/2017,VICTORVILLE,,#N/A,,#N/A
7419,CA3901430,VICTORIA ISLAND FARMS,SAN JOAQUIN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,11/6/2013,STOCKTON,,#N/A,NR   ,Not Required
7420,CA3610052,VICTORVILLE WATER DISTRICT,SAN BERNARDINO,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,123795,,,123795,258,,1063,1,33458,34780,C1   ,Large Water System,2/27/2014,VICTORVILLE,T3   ,Treatment Operator Level 3,D5   ,Distribution Operator Level 5
7421,CA1500231,VICTORY MUTUAL WATER COMPANY,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,740,,,740,,173,,,,173,SC   ,Small Community,12/7/2017,BAKERSFIELD,,#N/A,D1   ,Distribution Operator Level 1
7422,CA3301731,VICTORY RANCH,RIVERSIDE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,75,75,,1,,,,1,N1   ,Transient-Noncommunity Water System,11/10/2015,GILMAN HOT SPRINGS,,#N/A,NR   ,Not Required
7423,CA2702603,VIDA RD WS #01,MONTEREY,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,   ,#N/A,,15,,15,,7,,,,7,XS   ,State Small Water System,,SOLEDAD,,#N/A,NR   ,Not Required
7424,CA3600613,VIDAL JUNCTION,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,6,,,,6,N1   ,Transient-Noncommunity Water System,2/28/2018,VIDAL,,#N/A,,#N/A
7425,CA1000593,VIE-DEL COMPANY,FRESNO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,60,,60,2,,,,,2,SP   ,NonTransient-NonCommunity Water System,12/27/2012,FRESNO,,#N/A,D1   ,Distribution Operator Level 1
7426,CA3400164,"VIEIRA'S RESORT, INC",SACRAMENTO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,150,,,150,,107,,,,107,SC   ,Small Community,5/12/2017,ISLETON,,#N/A,,#N/A
7427,CA4200702,VIEJA MUTUAL WATER CO.,SANTA BARBARA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,75,,,75,,25,,,,25,,#N/A,6/21/2017,SANTA BARBARA,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
7428,CA3901421,VIEJO LTD,SAN JOAQUIN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,163,,163,,2,,,,2,SP   ,NonTransient-NonCommunity Water System,10/22/2013,STOCKTON,,#N/A,D1   ,Distribution Operator Level 1
7429,CA2701942,VIERRA CANYON WS #29,MONTEREY,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,2,,,,2,N1   ,Transient-Noncommunity Water System,7/12/2017,SALINAS,,#N/A,NR   ,Not Required
7430,CA2702007,VIERRA ESTATES WS,MONTEREY,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,164,,,164,,48,,,,48,SC   ,Small Community,1/14/2016,SALINAS,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
7431,CA2702055,VIERRA KNOLLS MWC,MONTEREY,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,66,,,66,,22,,,,22,,#N/A,8/25/2017,SALINAS,,#N/A,D1   ,Distribution Operator Level 1
7432,CA2702003,VIERRA MEADOWS MWC,MONTEREY,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,75,,,75,,25,,,,25,,#N/A,1/14/2016,SALINAS,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
7433,CA1200710,VIEW CREST LODGE,HUMBOLDT,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,50,50,,,30,,,30,N1   ,Transient-Noncommunity Water System,3/17/2015,TRINIDAD,T1   ,Treatment Operator Level 1,NR   ,Not Required
7434,CA1000454,VIKING RV PARK,FRESNO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,24,,80,104,,,,,50,50,N1   ,Transient-Noncommunity Water System,3/15/2015,KINGSBURG,,#N/A,NR   ,Not Required
7435,CA1700579,VILLA BLUE ESTATES WATER DISTRICT,LAKE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,60,,,60,,21,,,,21,SC   ,Small Community,9/22/2017,UPPER LAKE,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
7436,CA3900596,VILLA CEREZOS,SAN JOAQUIN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,200,,,200,,82,,,,82,SC   ,Small Community,3/6/2015,LODI,,#N/A,D1   ,Distribution Operator Level 1
7437,CA0706007,VILLA DE GUADALUPE,CONTRA COSTA,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,20,20,,7,,,,7,SC   ,Small Community,4/22/2015,BRENTWOOD,,#N/A,,#N/A
7438,CA4400595,VILLA DEL MONTE MWC,SANTA CRUZ,C,Community,C   ,Community,A,ACTIVE,P,Private,SW ,Surface Water,375,,,375,,118,,,,118,SC   ,Small Community,3/29/2017,LOS GATOS,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
7439,CA5000301,VILLA LAS FLORES,STANISLAUS,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,24,24,,13,,,,13,XS   ,State Small Water System,4/19/2004,PATTERSON,,#N/A,NR   ,Not Required
7440,CA0900624,VILLA TAHOE CONDOMINIUMS,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,44,44,,4,,,,4,N1   ,Transient-Noncommunity Water System,6/16/2015,SOUTH LAKE TAHOE,,#N/A,NR   ,Not Required
7441,CA1600018,VILLA TERRACE APARTMENTS,KINGS,NP,Non-Public,SSWS,State Small Water Systems,A,ACTIVE,P,Private,   ,#N/A,,22,,22,,10,,,,10,XS   ,State Small Water System,,HANFORD,,#N/A,,#N/A
7442,CA0300081,VILLA TOSCANO WINERY,AMADOR,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,3,,,,3,N1   ,Transient-Noncommunity Water System,6/6/2017,PLYMOUTH,,#N/A,NR   ,Not Required
7443,CA5400875,VILLAGE APARTMENTS,TULARE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,28,,,28,,5,,,,5,SC   ,Small Community,12/1/2015,THREE RIVERS,,#N/A,D1   ,Distribution Operator Level 1
7444,CA5200688,VILLAGE AT THE HIGHLANDS,TEHAMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,55,55,,,2,,,2,     ,#N/A,9/21/2015,MILL CREEK,,#N/A,D1   ,Distribution Operator Level 1
7445,CA3400454,VILLAGE BRADSHAW,SACRAMENTO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,100,,100,,5,,,,5,SP   ,NonTransient-NonCommunity Water System,1/29/2015,SACRAMENTO,,#N/A,,#N/A
7446,CA5000557,VILLAGE FOOD MART WATER SYSTEM,STANISLAUS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,6,,,,6,,#N/A,2/18/2014,,,#N/A,,#N/A
7447,CA4500194,VILLAGE GREEN,SHASTA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,100,,,100,,32,,,,32,SC   ,Small Community,10/5/2015,ANDERSON,,#N/A,D1   ,Distribution Operator Level 1
7448,CA3301055,VILLAGE OF CHILD HELP,RIVERSIDE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,354,,,354,,12,,,,12,SC   ,Small Community,5/4/2016,BEAUMONT,,#N/A,D1   ,Distribution Operator Level 1
7449,CA3303082,VILLALOBOS RANCH,RIVERSIDE,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,   ,#N/A,,20,,20,,12,,,,12,XS   ,State Small Water System,,THERMAL,,#N/A,,#N/A
7450,CA4900975,VIMARK  TRIONE WINERY,SONOMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,5,,,,5,N1   ,Transient-Noncommunity Water System,5/10/2002,GEYSERVILLE,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
7451,CA5200544,VINA ELEMENTARY SCHOOL,TEHAMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,98,,98,,2,,,,2,SP   ,NonTransient-NonCommunity Water System,9/7/2016,VINA,,#N/A,D1   ,Distribution Operator Level 1
7452,CA4901083,VINEBURG DELI & GROCERY,SONOMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,4,,,,4,N1   ,Transient-Noncommunity Water System,9/3/2002,SONOMA,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
7453,CA4900793,VINEHILL VISTAS MUTUAL WATER COMPANY,SONOMA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,60,,,60,,29,,,,29,SC   ,Small Community,2/7/2013,SEBASTOPOL,,#N/A,D1   ,Distribution Operator Level 1
7454,CA4000829,VINES R.V. RESORT,SAN LUIS OBISPO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,400,400,,,1,,,1,,#N/A,,,,#N/A,,#N/A
7455,CA2800038,VINEYARD 29,NAPA,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,24,24,,1,,,,1,XS   ,State Small Water System,2/26/2015,,,#N/A,NR   ,Not Required
7456,CA2800028,VINEYARD 7 & 8,NAPA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,,#N/A,3/10/2015,ST HELENA,,#N/A,NR   ,Not Required
7457,CA5610056,VINEYARD AVE ESTATES MWC,VENTURA,C,Community,C   ,Community,A,ACTIVE,P,Private,SWP,Surface Water Purchased,1200,,,1200,,342,,,,342,SC   ,Small Community,6/24/2015,OXNARD,T2   ,Treatment Operator Level 2,D2   ,Distribution Operator Level 2
7458,CA5610029,VINEYARD AVENUE ACRES MWC,VENTURA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,1820,,,1820,,364,,,,364,SC   ,Small Community,11/6/2015,OXNARD,TD   ,Treatment or distribution operator of any grade,D2   ,Distribution Operator Level 2
7459,CA3500579,VINEYARD ESTATES MWC,SAN BENITO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,150,,,150,,26,,,,26,SC   ,Small Community,8/10/2016,HOLLISTER,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
7460,CA5602120,VINEYARD MUTUAL WATER COMPANY/INDUSTRIAL,VENTURA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,240,,240,,56,,,,56,SP   ,NonTransient-NonCommunity Water System,8/24/2016,OXNARD,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
7461,CA4800753,VINEYARD RV PARK,SOLANO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,365,,,365,,176,,,,176,SC   ,Small Community,3/8/2017,VACAVILLE,,#N/A,D1   ,Distribution Operator Level 1
7462,CA4901236,"VINO FARMS, INC. - PRESTON RANCH",SONOMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,60,,60,,6,,,,6,SP   ,NonTransient-NonCommunity Water System,12/1/2009,HEALDSBURG,,#N/A,D1   ,Distribution Operator Level 1
7463,CA4901161,"VINO FARMS, INC. - WASSON RANCH",SONOMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,35,,35,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,5/14/2002,HEALDSBURG,,#N/A,D1   ,Distribution Operator Level 1
7464,CA4901201,VINWOOD CELLARS PRODUCTION AREA,SONOMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,80,,80,,2,,,,2,SP   ,NonTransient-NonCommunity Water System,12/2/2014,GEYSERVILLE,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
7465,CA3400226,VIRGIN STURGEON,SACRAMENTO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,200,200,,1,,,,1,,#N/A,4/9/2015,SACRAMENTO,,#N/A,,#N/A
7466,CA2600550,VIRGINIA CREEK SETTLEMENT PARK,MONO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,40,40,,1,,,,1,,#N/A,10/29/2014,BRIDGEPORT,,#N/A,NR   ,Not Required
7467,CA4900935,VIRGINIA DARE WINERY,SONOMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,50,,50,,8,,,,8,SP   ,NonTransient-NonCommunity Water System,11/3/2016,GEYSERVILLE,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
7468,CA2600510,VIRGINIA LAKES MUTUAL WATER CO.,MONO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,,150,150,,40,,,,40,,#N/A,8/20/2015,BRIDGEPORT,,#N/A,NR   ,Not Required
7469,CA5403046,VISALIA CITRUS PACKING-ORANGE COVE,TULARE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,70,,70,,7,,,,7,SP   ,NonTransient-NonCommunity Water System,1/26/2017,ORANGE COVE,,#N/A,D1   ,Distribution Operator Level 1
7470,CA5400928,VISALIA SALES YARD,TULARE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,500,500,,4,,,,4,N1   ,Transient-Noncommunity Water System,6/29/2015,VISALIA,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
7471,CA4200747,VISTA DE LAS CRUCES,SANTA BARBARA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,170,,170,,3,,,,3,SP   ,NonTransient-NonCommunity Water System,5/14/2013,GAVIOTA,,#N/A,D1   ,Distribution Operator Level 1
7472,CA4000504,VISTA DE LAS FLORES WATER,SAN LUIS OBISPO,NP,Non-Public,SSWS,State Small Water Systems,A,ACTIVE,P,Private,GW ,Groundwater,24,,,24,,12,,,,12,SC   ,Small Community,4/21/2003,ARROYO GRANDE,,#N/A,,#N/A
7473,CA2700799,VISTA DEL TORO WS,MONTEREY,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,87,,,87,,29,,,,29,,#N/A,6/2/2016,SALINAS,,#N/A,D1   ,Distribution Operator Level 1
7474,CA3301709,VISTA GRANDE STATION - USFS,RIVERSIDE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,25,25,,4,,,,4,N1   ,Transient-Noncommunity Water System,1/30/2014,IDYLLWILD,,#N/A,NR   ,Not Required
7475,CA5200012,VISTA GRANDE WATER SYSTEM,TEHAMA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,400,,,400,,100,,,,100,SC   ,Small Community,5/29/2015,RED BLUFF,,#N/A,D1   ,Distribution Operator Level 1
7476,CA4300550,VISTA GRANDE WATER USERS ASSOCIATION,SANTA CLARA,C,Community,C   ,Community,A,ACTIVE,P,Private,SWP,Surface Water Purchased,60,,,60,,24,,,,24,SC   ,Small Community,5/25/2016,LOS GATOS,,#N/A,D1   ,Distribution Operator Level 1
7477,CA4200848,VISTA HILLS MWC,SANTA BARBARA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,75,,,75,,21,,,,21,,#N/A,3/28/2013,LOMPOC,,#N/A,D1   ,Distribution Operator Level 1
7478,CA3710027,VISTA IRRIGATION DISTRICT,SAN DIEGO,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,129353,,,129353,,27312,,,,27312,C1   ,Large Water System,10/16/2014,VISTA,TD   ,Treatment or distribution operator of any grade,D5   ,Distribution Operator Level 5
7479,CA4400644,VISTA OAKS MUTUAL WATER (SSWS),SANTA CRUZ,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,24,24,,10,,,,10,,#N/A,,WATSONVILLE,,#N/A,NR   ,Not Required
7480,CA4400625,VISTA ROBLES ASSOCIATION,SANTA CRUZ,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,50,,,50,,21,,,,21,,#N/A,3/9/2015,BEN LOMOND,,#N/A,D1   ,Distribution Operator Level 1
7481,CA3601034,VISTA WATER COMPANY,SAN BERNARDINO,NP,Non-Public,SSWS,State Small Water Systems,A,ACTIVE,P,Private,GW ,Groundwater,5,,,5,,,,,5,5,,#N/A,6/18/2014,COLTON,,#N/A,,#N/A
7482,CA2400236,VLC (VISTA LIVESTOCK COMPANY),MERCED,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,16,16,,8,,,,8,XS   ,State Small Water System,,DENAIR,,#N/A,,#N/A
7483,CA4301003,VO UU BUDDHIST MEDITATION ASSOCIATION,SANTA CLARA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,6/24/2016,SAN MARTIN,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
7484,CA1400523,VOGET RANCH,INYO,NP,Non-Public,SSWS,State Small Water Systems,A,ACTIVE,P,Private,GW ,Groundwater,,,10,10,,8,,,,8,XS   ,State Small Water System,,BISHOP,,#N/A,NR   ,Not Required
7485,CA0300016,VOLCANO COMMUNITY SERVICE DIST,AMADOR,C,Community,C   ,Community,A,ACTIVE,L,Local,GU ,Groundwater UDI Surface Water,160,,,160,,80,,,,80,,#N/A,10/23/2017,VOLCANO,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
7486,CA2400201,VOLTA COMMUNITY SD,MERCED,C,Community,C   ,Community,A,ACTIVE,M,Mixed (Public/Private),GW ,Groundwater,150,50,,200,,42,,,,42,DAVCS,Disadvantaged Small Community Water System,11/16/2017,VOLTA,,#N/A,D1   ,Distribution Operator Level 1
7487,CA3200142,VORONTSOV WATER SYSTEM/CROMBERG RENTALS,PLUMAS,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,24,24,,5,,,,5,DD   ,Dead and Done (not active),7/30/1991,CROMBERG,,#N/A,,#N/A
7488,CA1100254,VOYLES TRAILER PARK,GLENN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,42,,,42,,,,,15,15,SC   ,Small Community,8/13/2015,WILLOWS,,#N/A,D1   ,Distribution Operator Level 1
7489,CA5602514,VULCAN MATERIALS COMPANY - CAL MAT,VENTURA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,30,,30,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,11/15/2013,OXNARD,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
7490,CA1000632,VULCAN MATERIALS COMPANY - FRIANT,FRESNO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,31,,31,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,6/17/2016,FRESNO,,#N/A,,#N/A
7491,CA1200718,WADDINGTON W.W.,HUMBOLDT,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,75,,,75,,24,,,,24,SC   ,Small Community,6/21/2017,FERNDALE,,#N/A,D1   ,Distribution Operator Level 1
7492,CA5500190,WAGNER TRACT IMPROVEMENT ASSOC,TUOLUMNE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,30,30,,16,,,,16,N1   ,Transient-Noncommunity Water System,6/26/2014,,,#N/A,NR   ,Not Required
7493,CA2000856,WAGNER'S MAMMOTH POOL RESORT,MADERA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,50,50,,2,,,,2,N1   ,Transient-Noncommunity Water System,6/12/2014,MADERA,,#N/A,NR   ,Not Required
7494,CA3601133,WAGON TRAIN ROAD LLC,SAN BERNARDINO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,25,,25,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,9/12/2016,PHELAN/CAJON JNCTN,,#N/A,,#N/A
7495,CA1907013,WAGON WHEEL PLAZA,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,55,55,,8,,,,8,N1   ,Transient-Noncommunity Water System,6/13/2017,,,#N/A,D1   ,Distribution Operator Level 1
7496,CA0706045,WAHL FAMILY WATER SYSTEM,CONTRA COSTA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,65,65,,1,,,,1,     ,#N/A,4/15/2016,BETHEL ISLAND,,#N/A,,#N/A
7497,CA3107338,WAKE ISLAND WATER SYSTEM,PLACER,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,,#N/A,3/21/2018,PLEASANT GROVE,,#N/A,NR   ,Not Required
7498,CA5200006,WAL*MART DIST. CTR/ECO RES,TEHAMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,600,,600,,4,,,,4,SP   ,NonTransient-NonCommunity Water System,6/18/2015,RED BLUFF,,#N/A,D1   ,Distribution Operator Level 1
7499,CA4300764,WALDEN WEST,SANTA CLARA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,4,19,250,273,1,,2,,2,5,N1   ,Transient-Noncommunity Water System,5/14/2014,SARATOGA,,#N/A,D1   ,Distribution Operator Level 1
7500,CA2600648,WALKER BURGER,MONO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,,COLEVILLE,,#N/A,NR   ,Not Required
7501,CA2600631,WALKER COMMUNITY HALL AND PARK,MONO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,,25,25,,1,,,,1,,#N/A,12/6/2000,COLEVILLE,,#N/A,NR   ,Not Required
7502,CA2100545,WALKER CREEK RANCH EDUCATIONAL CENTER,MARIN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,200,12,212,,17,,,,17,SP   ,NonTransient-NonCommunity Water System,7/12/2017,PETALUMA,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
7503,CA3205001,WALKER RANCH CSD,PLUMAS,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,50,,,50,,15,,,,15,SC   ,Small Community,11/3/2016,CHESTER,,#N/A,D1   ,Distribution Operator Level 1
7504,CA2600513,WALKER RV,MONO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,14,,,,14,N1   ,Transient-Noncommunity Water System,3/8/2004,COLEVILLE,,#N/A,NR   ,Not Required
7505,CA2700802,WALKER VALLEY WS #3 (SS),MONTEREY,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,,,,9,,,,9,,#N/A,,CASTROVILLE,,#N/A,NR   ,Not Required
7506,CA4200804,WALKING M RANCHES ASSN.,SANTA BARBARA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,54,,,54,,17,,,,17,SC   ,Small Community,4/8/2015,SOLVANG,,#N/A,D1   ,Distribution Operator Level 1
7507,CA1700627,WALL WATER,LAKE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,10,10,,40,,,,40,N1   ,Transient-Noncommunity Water System,3/9/2015,NICE,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
7508,CA3301735,WALLER TRACT WATER DISTRICT,RIVERSIDE,C,Community,C   ,Community,A,ACTIVE,P,Private,GWP,Groundwater Purchased,350,,,350,,,,,88,88,SC   ,Small Community,6/27/2016,INDIO,,#N/A,D1   ,Distribution Operator Level 1
7509,CA3901113,WALNUT ACRES,SAN JOAQUIN,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,100,,,100,,30,,,,30,SC   ,Small Community,2/26/2015,STOCKTON,,#N/A,D1   ,Distribution Operator Level 1
7510,CA1700674,WALNUT COVE MOBILE ESTATES,LAKE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,200,,,200,,,,,60,60,SC   ,Small Community,2/17/2016,KELSEYVILLE,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
